1001	1	425	
1001	1	451	
1001	1	947	
1001	1	768	
1001	1	401	
1001	1	729	
1001	1	258	
1001	1	201	
1002	1	92	
1002	1	93	
1002	1	99	
1002	1	115	
1002	1	95	
1002	1	126	
1002	1	106	
1002	1	145	
1002	1	94	
1002	1	104	
1003	1	190	
1003	1	332	
1003	1	219	
1003	1	135	
1003	1	191	
1003	1	169	
1003	1	154	
1003	1	115	
1003	1	153	
1004	1	1081	
1004	1	849	
1004	1	822	
1004	1	584	
1004	1	863	
1004	1	1019	
1004	1	662	
1004	1	761	
10147	0	<50	
10147	1	67	
10147	0	<50	
10147	1	59	
10147	1	55	
10147	1	68	
10147	1	57	
10147	0	<50	
10147	1	53	
10158	1	68	
10158	0	<50	
10158	0	<50	
10158	0	58	
10158	0	62	
10158	1	79	
10158	0	56	
10158	1	71	
10158	0	<50	
10263	1	1338	
10263	1	2442	
10263	1	913	
10263	1	1275	
10263	1	1061	
10263	1	1181	
10263	1	806	
10280	1	64	
10280	1	71	
10280	1	66	
10280	1	79	
10280	1	77	
10280	1	78	
10280	1	64	
10280	1	75	
12250	1	501	
12250	1	510	
12250	1	407	
12250	1	356	
12250	1	382	
12250	1	303	
6021	0	65	
6021	0	85	
6021	0	70	
6021	0	<50	
REF	1	354	
REF	1	309	
